[0.000000] (-) TimerEvent: {}
[0.001194] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.001209] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001223] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001237] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001251] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001265] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001279] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001292] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001307] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001320] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001334] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001348] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001362] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001376] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001390] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001404] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001418] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001432] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001446] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001460] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001474] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.001488] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.001502] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.001516] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.001530] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.001547] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.001562] (-) JobUnselected: {'identifier': 'panda_moveit_config'}
[0.001576] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001629] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001656] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.001674] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001687] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.001701] (-) JobUnselected: {'identifier': 'two_wheeled_robot'}
[0.001718] (lab_moveit_config) JobQueued: {'identifier': 'lab_moveit_config', 'dependencies': OrderedDict([('labvolt5250a0_description', '/home/salem/graduation_project/graduation_project_ws/install/labvolt5250a0_description'), ('launch_param_builder', '/home/salem/graduation_project/graduation_project_ws/install/launch_param_builder'), ('moveit_common', '/home/salem/graduation_project/graduation_project_ws/install/moveit_common'), ('moveit_resources_fanuc_description', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_fanuc_description'), ('moveit_resources_panda_description', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_panda_description'), ('moveit_resources_pr2_description', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_pr2_description'), ('moveit_resources_prbt_support', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_prbt_support'), ('srdfdom', '/home/salem/graduation_project/graduation_project_ws/install/srdfdom'), ('moveit_configs_utils', '/home/salem/graduation_project/graduation_project_ws/install/moveit_configs_utils'), ('moveit_resources_fanuc_moveit_config', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_fanuc_moveit_config'), ('moveit_resources_panda_moveit_config', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_panda_moveit_config'), ('moveit_core', '/home/salem/graduation_project/graduation_project_ws/install/moveit_core'), ('chomp_motion_planner', '/home/salem/graduation_project/graduation_project_ws/install/chomp_motion_planner'), ('moveit_resources_prbt_ikfast_manipulator_plugin', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_prbt_ikfast_manipulator_plugin'), ('moveit_ros_occupancy_map_monitor', '/home/salem/graduation_project/graduation_project_ws/install/moveit_ros_occupancy_map_monitor'), ('moveit_simple_controller_manager', '/home/salem/graduation_project/graduation_project_ws/install/moveit_simple_controller_manager'), ('pilz_industrial_motion_planner_testutils', '/home/salem/graduation_project/graduation_project_ws/install/pilz_industrial_motion_planner_testutils'), ('moveit_planners_chomp', '/home/salem/graduation_project/graduation_project_ws/install/moveit_planners_chomp'), ('moveit_ros_planning', '/home/salem/graduation_project/graduation_project_ws/install/moveit_ros_planning'), ('moveit_kinematics', '/home/salem/graduation_project/graduation_project_ws/install/moveit_kinematics'), ('moveit_planners_ompl', '/home/salem/graduation_project/graduation_project_ws/install/moveit_planners_ompl'), ('moveit_ros_robot_interaction', '/home/salem/graduation_project/graduation_project_ws/install/moveit_ros_robot_interaction'), ('moveit_ros_warehouse', '/home/salem/graduation_project/graduation_project_ws/install/moveit_ros_warehouse'), ('moveit_ros_move_group', '/home/salem/graduation_project/graduation_project_ws/install/moveit_ros_move_group'), ('moveit_resources_prbt_moveit_config', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_prbt_moveit_config'), ('moveit_ros_planning_interface', '/home/salem/graduation_project/graduation_project_ws/install/moveit_ros_planning_interface'), ('moveit_resources_prbt_pg70_support', '/home/salem/graduation_project/graduation_project_ws/install/moveit_resources_prbt_pg70_support'), ('moveit_ros_visualization', '/home/salem/graduation_project/graduation_project_ws/install/moveit_ros_visualization'), ('moveit_setup_framework', '/home/salem/graduation_project/graduation_project_ws/install/moveit_setup_framework'), ('pilz_industrial_motion_planner', '/home/salem/graduation_project/graduation_project_ws/install/pilz_industrial_motion_planner'), ('moveit_planners', '/home/salem/graduation_project/graduation_project_ws/install/moveit_planners'), ('moveit_setup_app_plugins', '/home/salem/graduation_project/graduation_project_ws/install/moveit_setup_app_plugins'), ('moveit_setup_controllers', '/home/salem/graduation_project/graduation_project_ws/install/moveit_setup_controllers'), ('moveit_setup_core_plugins', '/home/salem/graduation_project/graduation_project_ws/install/moveit_setup_core_plugins'), ('moveit_setup_srdf_plugins', '/home/salem/graduation_project/graduation_project_ws/install/moveit_setup_srdf_plugins'), ('moveit_setup_assistant', '/home/salem/graduation_project/graduation_project_ws/install/moveit_setup_assistant')])}
[0.001782] (lab_moveit_config) JobStarted: {'identifier': 'lab_moveit_config'}
[0.056941] (lab_moveit_config) JobEnded: {'identifier': 'lab_moveit_config', 'rc': 1}
[0.057446] (-) EventReactorShutdown: {}
